zone_id,subzone_id,sensor_type,readings,first_ts,last_ts,avg_processed,min_processed,max_processed
test_1,"",ds18b20,779,2026-05-09 14:16:06.185+00,2026-05-11 09:20:50+00,17.1523,1.2500,21.2500
test_1,"",ec,3,2026-05-09 14:16:40.228+00,2026-05-09 14:17:10.227+00,1200.0000,1200.0000,1200.0000
test_1,"",sht31_humidity,782,2026-05-10 16:57:10+00,2026-05-11 09:20:57+00,63.0051,49.7000,93.7000
test_1,"",sht31_temp,782,2026-05-10 16:57:10+00,2026-05-11 09:20:57+00,17.4246,15.8000,24.5000
test_1,"",vpd,764,2026-05-10 16:57:40+00,2026-05-11 09:20:57+00,0.7391,0.1770,1.5373
